Service,Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Amazon,Tanzania,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Tanzania,3|0.136,3,"2579,2750,3160,3309,3330,3370,3371,3393",0.136000,38.08,57.12
Amazon,Tanzania,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Tanzania,3|0.102,3,3168,0.102000,28.56,42.84
Amazon,Tanzania,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Sri Lanka,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Sri Lanka,3|0.191,3,"2579,3370,3411",0.191000,53.48,74.87
Amazon,Sri Lanka,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Sri Lanka,3|0.084,3,3168,0.084000,23.52,35.28
Amazon,Sri Lanka,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Sri Lanka,3|0.09,3,3335,0.090000,25.20,37.80
Amazon,Honduras,2|0.094,2,2266,0.094000,26.32,39.48
